"Zeitstempel","Wie oft benutzt Du elektronische Seekarten?","Wie nutzt Du elektronische Seekarten?","Welche elektronischen Seekarten sind interessant für Dich?","Was findet Ihr gut gelungen an kommerziellen Seekarten?","Was findet Ihr schlecht an kommerziellen Seekarten?","Wie oft aktualisierst Du Seekarten?","Möchtest Du die Seekarte dauerhaft ohne Einschränkungen besitzen und verwenden?","Findet ihr die Lizenzbedingungen für kommerzielle  Seekarte fair?","Findest Du den Preis für kommerzielle Seekarten für Apps angemessen?","Findest Du den Preis für kommerzielle Seekarten für Plotter angemessen?","Welche elektronische Seekarte verwendest Du?","Welche Daten sind Dir besonders wichtig in Seekarten?","Welche Funktionen sollten elektronische Seekarten können?","Was ist Dir besonders wichtig bei elektronischen Seekarten?","Möchtest Du sonst noch etwas mitteilen?"
"2025/11/01 4:15:44 PM MEZ","Öfter in Verbindung mit Papierkarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit;Ich fahre nach den geplanten Routen","Als verschlüsselte Datei auf einem propritären Datenträger, Nutzung eingeschränkt","Layout der Karten;Regelmäßige Updates","Preis;Lizenzregeln","Sporadisch nach Bedarf","ja","nein","Ist zu teuer","Ist zu teuer","Garmin / Boating (Navionics)","Seegebiete;Tiefenangaben;Tiefenlinien;Seezeichen;Aktualitätsdatum der Seekarte;Gefahrenstellen","2D-Tiefenkontur;Einstellbare Tiefengrenze","Genauigkeit und Aktuellität","nein"
"2025/11/01 4:35:12 PM MEZ","Ausschließlich elektronische Seekarten","Nur zur Anzeige des Standortes;Ich lasse mir Borddaten anzeigen","Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Regelmäßige Updates;Lizenzregeln","Updatezwang;Preis;Lizenzregeln","Jedes halbe Jahr","ja","nein","Ist zu teuer","Ist zu teuer","O-Charts;Freie Seekarten","Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen","2D-Tiefenkontur;Interaktive Informationen für Kartenobjekte;Hervorhebung von Sperrzonen","Updating should be easy and possible without connecting the nav-pc to the internet.","nein"
"2025/11/01 4:43:32 PM MEZ","Ausschließlich elektronische Seekarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit","Online Live-Seekarten mit Cloudanbindung auf aktuellstem Stand;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Regelmäßige Updates","Layout der Karten;Funktionalität;Herstellersupport;Preis;Lizenzregeln","Sporadisch nach Bedarf","ja","nein","Ist zu teuer","Ist zu teuer","Garmin / Boating (Navionics)","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen","Interaktive Informationen für Kartenobjekte;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/11/01 4:49:33 PM MEZ","Ausschließlich elektronische Seekarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich benutze sie auch in Verbindung mit einem Autopiloten","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität;Regelmäßige Updates","Preis;Lizenzregeln","Sporadisch nach Bedarf","ja","nein","Ist zu teuer","Ist zu teuer","Garmin / Boating (Navionics)","Seegebiete;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Ankerplätze;Gefahrenstellen","2D-Tiefenkontur;3D-Kontur am Tiefenmap;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/11/01 4:51:54 PM MEZ","Ausschließlich elektronische Seekarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich benutze sie auch in Verbindung mit einem Autopiloten;Ich lasse mir Borddaten anzeigen","Online Live-Seekarten mit Cloudanbindung auf aktuellstem Stand;Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card;Standardsierte Seekarten, die in allen Geräten nutzbar sind","Layout der Karten;Funktionalität;Regelmäßige Updates","Preis;Lizenzregeln","Sporadisch nach Bedarf","ja","nein","Ist angemessen","Ist angemessen","Garmin / Boating (Navionics)","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen","2D-Tiefenkontur;3D-Kontur am Tiefenmap;Interaktive Informationen für Kartenobjekte;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/11/01 4:55:52 PM MEZ","Ausschließlich elektronische Seekarten","Ich fahre nach den geplanten Routen","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Funktionalität;Regelmäßige Updates;Nutzung im Plotter","Preis","Jedes halbe Jahr","ja","nein","Ist zu teuer","Ist angemessen","Garmin / Boating (Navionics);O-Charts;Elektronische Seekarten des Plotterherstellers","Seegebiete;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Aktualitätsdatum der Seekarte;Gefahrenstellen","2D-Tiefenkontur;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/11/01 4:57:01 PM MEZ","Ausschließlich elektronische Seekarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich lasse mir Borddaten anzeigen","Als verschlüsselte Datei auf einem propritären Datenträger, Nutzung eingeschränkt;Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card;Seekarten fest verbunden mit Hardware;Standardsierte Seekarten, die in allen Geräten nutzbar sind","Funktionalität;Regelmäßige Updates","Lizenzregeln","Jedes halbe Jahr","ja","nein","Ist angemessen","Ist angemessen","Garmin / Boating (Navionics);Elektronische Seekarten des Plotterherstellers","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Gefahrenstellen","2D-Tiefenkontur;Überblendeffekte zu anderen Karten wie z.B. Satellitenbildern;Interaktive Informationen für Kartenobjekte;Hervorhebung von Sperrzonen","Die Zuverlässigkeit","nein"
"2025/11/01 5:03:08 PM MEZ","Ausschließlich elektronische Seekarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen","Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität;Regelmäßige Updates","Preis;Lizenzregeln","Sporadisch nach Bedarf","ja","ja","Ist angemessen","Ist zu teuer","Garmin / Boating (Navionics);NV-Charts","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Ankerplätze;Gefahrenstellen;Tiefenangabe der Wattfahrwasser wäre schön","Überblendeffekte zu anderen Karten wie z.B. Satellitenbildern;Interaktive Informationen für Kartenobjekte;Überlagerung von Tieden und Strömungsdaten","Einfache Routenplanung und Trackaufzeichnung","Das Gebiet ist mit bei jeweiligen NV Charts zu klein"
"2025/11/01 5:27:41 PM MEZ","Öfter in Verbindung mit Papierkarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Funktionalität;Regelmäßige Updates","Preis;Lizenzregeln;beschränkte Anzahl erlaubter Installationen","Jedes halbe Jahr","nein","nein","Ist angemessen","Ist zu teuer","Garmin / Boating (Navionics);NV-Charts;O-Charts;Freie Seekarten","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Gefahrenstellen;Daten zu Brücken und Schleusen","2D-Tiefenkontur;Überblendeffekte zu anderen Karten wie z.B. Satellitenbildern;Interaktive Informationen für Kartenobjekte;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Individuell gestaltbare Karten bzgl. Land- und Wassermassen;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Nachvollziehbarkeit der Aktualität","Viele Daten werden von offiziellen Stellen veröffentlicht, die wir mit Steuergeldern finanzieren. Warum sollte ich dann nochmals für die Nutzung zahlen müssen?"
"2025/11/01 6:06:41 PM MEZ","Gelegentlich","Ich plane meine Routen damit","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Funktionalität","Preis;Lizenzregeln","Sporadisch nach Bedarf","ja","ja","Ist zu teuer","Ist zu teuer","Freie Seekarten;Selbst erstellte oder eingescannte Seekarten","Landgebiete;Seegebiete;Tiefenangaben;Tiefenlinien;Ankerplätze;Gefahrenstellen","2D-Tiefenkontur;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/11/01 7:57:35 PM MEZ","Ausschließlich elektronische Seekarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich lasse mir Borddaten anzeigen","Online Live-Seekarten mit Cloudanbindung auf aktuellstem Stand;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität;Regelmäßige Updates","Updatezwang;Preis;Lizenzregeln","Jedes halbe Jahr","ja","ja","Ist angemessen","Ist zu teuer","Garmin / Boating (Navionics);O-Charts;Freie Seekarten;Selbst erstellte oder eingescannte Seekarten","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen","2D-Tiefenkontur;3D-Kontur am Tiefenmap;Überblendeffekte zu anderen Karten wie z.B. Satellitenbildern;Interaktive Informationen für Kartenobjekte;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten","Ich habe keine Meinung dazu","nein"
"2025/11/01 8:05:46 PM MEZ","Ausschließlich elektronische Seekarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich lasse mir Borddaten anzeigen","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Seekarten fest verbunden mit Hardware;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Regelmäßige Updates","Preis","Sporadisch nach Bedarf","ja","nein","Ist angemessen","Ist zu teuer","O-Charts;Freie Seekarten;Selbst erstellte oder eingescannte Seekarten","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen","Überblendeffekte zu anderen Karten wie z.B. Satellitenbildern;Interaktive Informationen für Kartenobjekte;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/11/01 8:36:32 PM MEZ","Ausschließlich elektronische Seekarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich benutze sie auch in Verbindung mit einem Autopiloten","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind","Layout der Karten;Funktionalität;Regelmäßige Updates","Preis;Lizenzregeln","Sporadisch nach Bedarf","ja","nein","Ist zu teuer","Ist zu teuer","C-Map;NV-Charts;Freie Seekarten","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Gefahrenstellen","2D-Tiefenkontur;Interaktive Informationen für Kartenobjekte;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze","Aktualität, Genauigkeit, einfach zu Handhaben.","nein"
"2025/11/01 8:37:53 PM MEZ","Öfter in Verbindung mit Papierkarten","Ich plane meine Routen damit;Ich lasse mir Borddaten anzeigen","Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität;Regelmäßige Updates;Herstellersupport","Updatezwang;Preis;Lizenzregeln","Sporadisch nach Bedarf","ja","nein","Ist zu teuer","Ist zu teuer","NV-Charts;O-Charts;Freie Seekarten;Nautin.NL   ","Landgebiete;Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen","Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Gefahrenstellen sollten beim herauszoomen nicht ausgeblendet werden","nein"
"2025/11/01 9:05:40 PM MEZ","Ausschließlich elektronische Seekarten","Ich plane meine Routen damit","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind","Preis","Preis","Sporadisch nach Bedarf","ja","ja","Ist angemessen","Ist zu teuer","Garmin / Boating (Navionics)","Hafeninformationen;Tiefenangaben","Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/11/01 9:09:38 PM MEZ","Öfter in Verbindung mit Papierkarten","Ich plane meine Routen damit;Ich lasse mir Borddaten anzeigen","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind","Tiefenanzeige ","Updatezwang","Sporadisch nach Bedarf","ja","nein","Ist angemessen","Ist zu teuer","Garmin / Boating (Navionics);Raymarine","Seegebiete;Tiefenangaben;Tiefenlinien;Leuchtfeuer und Lichtsignale;Gefahrenstellen","2D-Tiefenkontur;Überlagerung von Wetterdaten","Ich habe keine Meinung dazu","nein"
"2025/11/01 10:15:28 PM MEZ","Ausschließlich elektronische Seekarten","Ich fahre nach den geplanten Routen;Planung und Navigation unterwegs","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind","Layout der Karten;Funktionalität","Herstellersupport;Lizenzregeln;Unklare Daten Qualität/Aktualität","Sporadisch nach Bedarf","ja","nein","Ist angemessen","Ist zu teuer","Garmin / Boating (Navionics)","Seegebiete;Tiefenangaben;Tiefenlinien;Seezeichen;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen","Interaktive Informationen für Kartenobjekte;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Aktualität. Klares Kartenbild.","nein"
"2025/11/01 10:51:46 PM MEZ","Ausschließlich elektronische Seekarten","Ich fahre nach den geplanten Routen","Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card;Standardsierte Seekarten, die in allen Geräten nutzbar sind","Layout der Karten;Funktionalität;Regelmäßige Updates","Preis;Lizenzregeln","Sporadisch nach Bedarf","ja","nein","Ist zu teuer","Ist zu teuer","Raymarine;O-Charts","Seegebiete;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten","3D-Kontur am Tiefenmap;Interaktive Informationen für Kartenobjekte;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/11/02 2:42:55 AM MEZ","Öfter in Verbindung mit Papierkarten","Nur zur Anzeige des Standortes;Ich lasse mir Borddaten anzeigen","Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität","Updatezwang;Preis;Lizenzregeln","Sporadisch nach Bedarf","ja","nein","Ist zu teuer","Ist zu teuer","C-Map;NV-Charts","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Gefahrenstellen","Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/11/02 6:17:03 AM MEZ","Ausschließlich elektronische Seekarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit;Ich fahre nach den geplanten Routen","Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Funktionalität;Regelmäßige Updates","Updatezwang","Sporadisch nach Bedarf","ja","nein","Ist angemessen","Ist angemessen","Elektronische Seekarten des Plotterherstellers","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Aktualitätsdatum der Seekarte;Gefahrenstellen","2D-Tiefenkontur;Überblendeffekte zu anderen Karten wie z.B. Satellitenbildern;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/11/02 8:22:05 AM MEZ","Öfter in Verbindung mit Papierkarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich lasse mir Borddaten anzeigen","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen","Layout der Karten;Funktionalität;Regelmäßige Updates","Layout der Karten;Herstellersupport","Sporadisch nach Bedarf","ja","ja","Ist angemessen","Ist zu teuer","Garmin / Boating (Navionics);O-Charts","Seegebiete;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Aktualitätsdatum der Seekarte;Gefahrenstellen","Individuell gestaltbare Karten bzgl. Land- und Wassermassen;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Programm und Karten müssen stabil laufen, die Bedienung sollte einfach und intuitiv sein ","nein"
"2025/11/02 10:08:06 AM MEZ","Öfter in Verbindung mit Papierkarten","Nur zur Anzeige des Standortes","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind","Regelmäßige Updates","Updatezwang;Preis;Lizenzregeln","Sporadisch nach Bedarf","ja","nein","Ist zu teuer","Ist zu teuer","Freie Seekarten","Landgebiete;Seegebiete;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Gefahrenstellen","2D-Tiefenkontur","Freie Seekarte, die auf älteren Garmin-Geräten (ohne Sperre für Nicht-Garmin-Karten)  nutzbar ist.","nein"
"2025/11/02 10:38:47 AM MEZ","Öfter in Verbindung mit Papierkarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit;Ich benutze sie auch in Verbindung mit einem Autopiloten;Ich lasse mir Borddaten anzeigen","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität","Updatezwang;Herstellersupport;Preis;Lizenzregeln","Ein Mal im Jahr","ja","nein","Ist zu teuer","Ist zu teuer","NV-Charts;O-Charts","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Aktualitätsdatum der Seekarte;Gefahrenstellen","2D-Tiefenkontur;Überblendeffekte zu anderen Karten wie z.B. Satellitenbildern;Interaktive Informationen für Kartenobjekte;Überlagerung von Tieden und Strömungsdaten;Individuell gestaltbare Karten bzgl. Land- und Wassermassen;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen;Aktuelle Wellenhöhen","Dass sie immer ohne Einschränkung funktionieren","nein"
